Gene,Group,Kallisto,Sailfish,K2,S2
AAEL007432-RA,N7Y7,190321.2732,189175.9142,17.5380773,17.52936889
AAEL002467-RA,N7Y7,145252.6006,146403.888,17.14820447,17.15959434
AAEL019469-RA,N7Y7,118084.6135,3257.333001,16.84946147,11.6694755
AAEL006381-RA,N7Y7,88579.90941,88634.9457,16.4346919,16.435588
AAEL013127-RB,N7Y7,76972.18709,37373.7875,16.23204962,15.18973915
AAEL001690-RA,N7Y7,66571.57723,66189.61681,16.02261873,16.0143173
AAEL001656-RA,N7Y7,64615.84088,64560.9102,15.97960027,15.9783733
AAEL015136-RA,N7Y7,63102.63627,77193.63963,15.94541266,16.23619436
AAEL019470-RA,Y1N1,52364.54631,51115.26416,15.67630274,15.64146656
AAEL008769-RA,N7Y7,50382.99591,50270.61435,15.62064929,15.6174277
AAEL013118-RB,N7Y7,33918.46251,27969.26459,15.04978316,14.7715547
AAEL013533-RD,Y1N1,28007.72733,25637.54683,14.7735373,14.6459706
AAEL001693-RA,N7Y7,18564.49448,18442.0907,14.18025841,14.1707146
AAEL022695-RA,N7Y7,13924.77407,14243.08203,13.7653663,13.79797374
AAEL001887-RC,N7Y7,12455.82658,12631.76817,13.60453314,13.62476898
AAEL009479-RB,N7Y7,12191.05201,12625.74305,13.57353501,13.62408068
AAEL005533-RB,N7Y7,10135.36316,10467.11101,13.30711016,13.35357568
AAEL007114-RA,Y1N1,9073.166034,9004.982123,13.14739034,13.1365077
AAEL000709-RB,N7Y7,7928.308403,8032.429502,12.95279737,12.9716207
AAEL008693-RA,N7Y7,7799.167319,7797.498216,12.92910439,12.9287956
AAEL010435-RB,N7Y7,7609.232832,7623.503687,12.89353529,12.89623848
AAEL026582-RA,N7Y7,6257.344889,6295.358446,12.61133491,12.62007281
AAEL001887-RD,N7Y7,6215.387764,6301.073116,12.60162869,12.62138184
AAEL006607-RA,N7Y7,6114.859117,6441.792991,12.57810354,12.65324658
AAEL012395-RA,Y1N1,5330.67736,5296.348802,12.38010315,12.37078242
AAEL004048-RA,N7Y7,5307.922623,5474.396851,12.37393162,12.41848431
AAEL009165-RA,N7Y7,5135.436146,4652.9591,12.32627109,12.18393279
AAEL022001-RA,N7Y7,4770.343019,1305.402084,12.21987729,10.35027853
AAEL019957-RA,Y1N1,4571.938197,4540.038379,12.15859019,12.14848878
AAEL010932-RC,N7Y7,4565.753969,4480.452901,12.15663741,12.12942886
AAEL004297-RJ,Y1N1,4366.363705,4343.570537,12.09221659,12.08466575
AAEL001087-RB,N7Y7,4236.907808,4412.85421,12.04879602,12.10749637
AAEL021555-RA,N7Y7,3962.718483,4095.475391,11.95227476,11.99981521
AAEL009764-RB,Y1N1,3837.579283,4054.454441,11.90598084,11.98529209
AAEL007139-RA,N7Y7,3693.087301,3800.119496,11.85061165,11.89182907
AAEL008953-RC,Y1N1,3691.25415,3697.04808,11.84989536,11.85215809
AAEL003742-RA,N7Y7,3405.414134,3554.285271,11.73361454,11.79534376
AAEL018340-RG,N7Y7,3251.769015,3358.386622,11.66700907,11.71355261
AAEL003184-RD,N7Y7,2771.717882,2863.95828,11.43656471,11.48379476
AAEL014045-RA,N7Y7,2550.67547,2629.745231,11.31666364,11.36070732
AAEL014891-RB,N7Y7,2481.848378,2443.641552,11.27719926,11.25481696
AAEL009762-RB,N7Y7,2212.415642,2223.131673,11.11140673,11.11837768
AAEL002742-RB,N7N1,2107.897931,2161.597086,11.0415893,11.07788192
AAEL001159-RA,N7Y7,2081.643136,2071.872151,11.02350705,11.01671927
AAEL006609-RB,N7Y7,1910.69686,1892.787741,10.89988319,10.88629692
AAEL009131-RA,N7Y7,1882.218154,1854.400082,10.87821813,10.85673682
AAEL007979-RB,N7Y7,1792.366261,1803.402058,10.80764976,10.81650536
AAEL015199-RB,N7Y7,1488.634477,1497.56913,10.53977384,10.54840689
AAEL001835-RA,N7Y7,1416.681389,1461.278597,10.46829962,10.51301554
AAEL006624-RA,N7Y7,1377.568666,1428.364165,10.42790852,10.48014813
AAEL005666-RK,N7Y7,1347.574419,1333.451737,10.39614923,10.38094989
AAEL009127-RA,N7Y7,1344.807893,1375.448931,10.39318438,10.42568686
AAEL010094-RA,N7Y7,1311.685049,1317.705369,10.35720564,10.36381211
AAEL006412-RA,N7Y7,1277.220656,1315.117312,10.31879207,10.36097578
AAEL002917-RA,N7Y7,1217.245505,1255.294843,10.24940446,10.29381055
AAEL004532-RB,N7N1,1206.586061,1221.53632,10.23671511,10.25448104
AAEL009645-RC,N7Y7,1201.722934,1215.758614,10.2308886,10.2476411
AAEL005259-RD,N7Y7,1137.327115,1157.342147,10.15143154,10.17659972
AAEL019537-RA,Y1N1,1045.101707,992.2324052,10.02942763,9.954534265
AAEL017462-RK,N7N1,1007.383749,998.7803399,9.976397648,9.964023613
AAEL004870-RA,N7Y7,995.5301392,1009.837571,9.959321183,9.979907543
AAEL019334-RA,N7Y7,985.9235107,1043.281206,9.945331914,10.02691236
AAEL010917-RA,N7Y7,965.7424732,1088.904263,9.915494718,10.0886614
AAEL007131-RB,N7Y7,879.763447,906.2818765,9.78097185,9.823816024
AAEL002390-RA,N7Y7,855.1243672,835.2537325,9.739990447,9.706070714
AAEL017297-RB,N7Y7,846.501092,883.411332,9.725368119,9.786941528
AAEL001929-RA,N7Y7,827.7813856,827.5390227,9.693105997,9.692683534
AAEL008509-RA,N7Y7,802.3355499,815.075418,9.648061911,9.670789746
AAEL007138-RB,N7Y7,795.4439557,826.5550184,9.635616476,9.690967043
AAEL000618-RB,N7Y7,792.1079464,822.9310736,9.62955324,9.684627789
AAEL017082-RA,N7Y7,784.2388988,783.1958791,9.615149392,9.613229364
AAEL017356-RC,N7Y7,748.9306427,747.6947941,9.548688309,9.546305678
AAEL013040-RB,N7Y7,731.3308475,699.6086541,9.514380406,9.450404325
AAEL007946-RB,N7Y7,726.5139232,734.760863,9.504846636,9.521130973
AAEL013128-RI,N7N1,691.8660059,683.5530438,9.434348847,9.416909485
AAEL007554-RA,N7Y7,615.4898626,615.6377979,9.265591285,9.265938
AAEL009574-RA,N7Y7,607.6261156,586.8006612,9.247040068,9.196726686
AAEL010468-RA,N7Y7,597.2178255,593.3812535,9.222113417,9.212815539
AAEL006226-RB,N7N1,583.9411349,586.1915879,9.189679133,9.195228455
AAEL009124-RA,N7Y7,576.7436001,471.1740768,9.17178628,8.880116356
AAEL014754-RA,Y1N1,576.4983971,581.6419462,9.171172786,9.183987505
AAEL008878-RA,N7Y7,574.7276774,573.7896431,9.166734717,9.164378118
AAEL007422-RA,N7Y7,561.6450318,562.3060492,9.133514803,9.135211757
AAEL003462-RA,Y1N1,559.4294608,567.3671461,9.127812421,9.148138802
AAEL014557-RB,N7Y7,518.6230643,520.5633979,9.018542557,9.023930066
AAEL001356-RC,N7Y7,475.7049047,411.6417078,8.89392309,8.685245354
AAEL001742-RC,N7N1,462.6438108,517.4217665,8.85375808,9.015196935
AAEL004486-RA,N7Y7,456.9248989,452.4467357,8.83581325,8.821604151
AAEL008095-RB,N7Y7,453.180601,480.5594558,8.823942296,8.908571125
AAEL026347-RA,N7Y7,443.1714442,456.9547938,8.791721114,8.835907637
AAEL002269-RA,Y1N1,413.3533258,428.0556216,8.691231684,8.741654462
AAEL001674-RA,Y1N1,407.4628264,403.90013,8.670524635,8.6578548
AAEL013725-RA,N7Y7,393.4065426,389.7391306,8.619877141,8.606364978
AAEL024950-RD,N7Y7,390.3344461,341.9739167,8.608566973,8.417742481
AAEL003605-RA,N7Y7,382.5936786,380.1128329,8.579669227,8.570283922
AAEL010968-RA,N7Y7,379.2791863,379.3472556,8.567116393,8.56737529
AAEL004193-RD,N7Y7,374.8525998,343.0462425,8.550179598,8.422259254
AAEL016967-RA,N7Y7,360.7537742,371.2444994,8.494870678,8.53622584
AAEL013688-RA,N7Y7,358.7983092,370.4797748,8.487029282,8.533250975
AAEL003749-RA,N7Y7,345.9976593,172.8176425,8.434618468,7.433106696
AAEL001421-RA,N7Y7,344.7931383,347.4585649,8.429587254,8.440697134
AAEL013531-RA,N7Y7,342.5995516,342.2291642,8.420379453,8.418818899
AAEL010879-RA,N7Y7,337.1506989,337.1496021,8.397249778,8.397245085
AAEL012595-RH,Y1N1,336.2537784,315.1785813,8.393406669,8.300025686
AAEL006264-RC,N7N1,333.9315888,338.7173997,8.383408764,8.403938289
AAEL011212-RA,N7Y7,324.3695289,324.0982367,8.341494489,8.340287361
AAEL003184-RC,N7Y7,315.392824,300.5513202,8.301006025,8.231467547
AAEL003273-RA,N7Y7,290.569283,289.621059,8.182738389,8.178022697
AAEL004688-RB,N7N1,282.1388877,261.0027112,8.140261719,8.027920983
AAEL002565-RG,Y1Y7,275.462396,270.7072204,8.105711576,8.080589558
AAEL004715-RA,N7Y7,267.3099371,274.1471014,8.06236966,8.098806409
AAEL015216-RB,N7N1,261.3819815,267.6676621,8.030015881,8.064299042
AAEL002404-RG,N7Y7,258.988855,292.2383763,8.016746206,8.191001833
AAEL014534-RA,N7Y7,253.16817,252.8397807,7.983952221,7.982079658
AAEL001696-RC,N7Y7,243.7467187,262.8325297,7.929238987,8.038000033
AAEL008262-RB,N7Y7,234.572906,233.8703949,7.873892576,7.869565436
AAEL007450-RA,N7Y7,226.6435818,225.2830334,7.824281497,7.815594855
AAEL001796-RC,N7Y7,225.4912624,224.4307653,7.816927721,7.810126646
AAEL014339-RC,Y1N1,219.7882004,101.8350732,7.779970125,6.670090718
AAEL009481-RA,N7N1,219.7288479,224.6353669,7.779580481,7.811441276
AAEL000600-RA,N7Y7,212.5339349,141.5871772,7.731549402,7.145546804
AAEL009265-RC,N7Y7,209.0288588,185.6306226,7.707558326,7.536290914
AAEL007030-RD,Y1N1,207.2270195,206.6779907,7.695068313,7.691240953
AAEL019737-RD,N7N1,205.7035361,219.877832,7.684422784,7.78055835
AAEL005048-RE,N7N1,202.7547303,201.9613212,7.663591763,7.65793521
AAEL019582-RB,Y1N1,201.6360992,213.3280057,7.65561014,7.736929565
AAEL012918-RD,N7N1,200.7591208,221.1185373,7.649321723,7.788676167
AAEL001575-RA,N7Y7,195.3323034,201.1818087,7.609786747,7.652356049
AAEL008468-RA,N7Y7,192.7539478,192.5716964,7.590616598,7.589251865
AAEL014695-RD,Y1Y7,184.7891891,179.4692758,7.529736546,7.487593073
AAEL006071-RJ,N7N1,168.8116932,170.9334068,7.399271029,7.417290571
AAEL002428-RE,N7Y7,164.5894218,177.0987922,7.362727806,7.468410563
AAEL006973-RA,Y1Y7,157.5984696,157.8005076,7.300109715,7.301958036
AAEL007765-RE,N7N1,153.398309,150.1759314,7.261138769,7.230509801
